Price sequence generation for initial 1:
Position 0: secret=1, price=1
Position 389: secret=13800080, price=0
Position 390: secret=5023524, price=4
Position 391: secret=5041493, price=3
Position 392: secret=5942741, price=1
Position 393: secret=4513361, price=1
Position 394: secret=15915073, price=3
Position 395: secret=3466817, price=7
Position 396: secret=14718385, price=5
Position 397: secret=7480894, price=4
Position 398: secret=6024435, price=5
Position 399: secret=1066674, price=4
Position 400: secret=2817379, price=9
Position 401: secret=13990030, price=0
Position 402: secret=8499670, price=0
Position 403: secret=12126836, price=6
Position 404: secret=10630095, price=5
Position 405: secret=10472975, price=5
Position 406: secret=1189793, price=3
Position 407: secret=1302942, price=2
Position 408: secret=4041262, price=2
Position 409: secret=9470115, price=5
Position 410: secret=14429472, price=2
Position 411: secret=2201097, price=7
Position 412: secret=14773483, price=3
Position 413: secret=10179738, price=8
Position 414: secret=4215178, price=8
Position 415: secret=12714642, price=2
Position 416: secret=14263074, price=4
Position 417: secret=11737343, price=3
Position 418: secret=441862, price=2
Position 419: secret=2074234, price=4
Position 420: secret=12083517, price=7
Position 421: secret=14507790, price=0
Position 422: secret=13473898, price=8
Position 423: secret=5846781, price=1
Position 424: secret=8105456, price=6
Position 425: secret=3125119, price=9
Position 426: secret=5997370, price=0
Position 427: secret=12247, price=7
Position 428: secret=2997447, price=7
Position 429: secret=9167215, price=5
Position 430: secret=4978554, price=4
Position 431: secret=7745717, price=7
Position 432: secret=9772314, price=4
Position 433: secret=10418502, price=2
Position 434: secret=5090688, price=8
Position 435: secret=16292844, price=4
Position 436: secret=4705259, price=9
Position 437: secret=7702690, price=0
Position 438: secret=16647459, price=9
Position 439: secret=12638092, price=2
Position 440: secret=1826088, price=8
Position 441: secret=7830417, price=7
Position 442: secret=3517231, price=1
Position 443: secret=8575976, price=6
Position 444: secret=3324135, price=5
Position 445: secret=11605294, price=4
Position 446: secret=1123419, price=9
Position 447: secret=12749583, price=3
Position 448: secret=3605129, price=9
Position 449: secret=1992143, price=3
Position 450: secret=16176831, price=1
Position 451: secret=5554868, price=8
Position 452: secret=66761, price=1
Position 453: secret=16506685, price=5
Position 454: secret=9142526, price=6
Position 455: secret=8178309, price=9
Position 456: secret=8962203, price=3
Position 457: secret=11954537, price=7
Position 458: secret=12112560, price=0
Position 459: secret=6436165, price=5
Position 460: secret=1128229, price=9
Position 461: secret=9611670, price=0
Position 462: secret=6994550, price=0
Position 463: secret=16010953, price=3
Position 464: secret=16493421, price=1
Position 465: secret=13409196, price=6
Position 466: secret=16018217, price=7
Position 467: secret=4899938, price=8
Position 468: secret=15477253, price=3
Position 469: secret=1140255, price=5
Position 470: secret=8138449, price=9
Position 471: secret=4591173, price=3
Position 472: secret=6052861, price=1
Position 473: secret=12857752, price=2
Position 474: secret=6763812, price=2
Position 475: secret=13699013, price=3
Position 476: secret=1964337, price=7
Position 477: secret=2521306, price=6
Position 478: secret=14470184, price=4
Position 479: secret=2650137, price=7
Position 480: secret=10128875, price=5
Position 481: secret=16558226, price=6
Position 482: secret=1288306, price=6
Position 483: secret=3461461, price=1
Position 484: secret=75829, price=9
Position 485: secret=11242590, price=0
Position 486: secret=11722496, price=6
Position 487: secret=12253176, price=6
Position 488: secret=9079223, price=3
Position 489: secret=3343188, price=8
Position 490: secret=11761894, price=4
Position 491: secret=3490669, price=9
Position 492: secret=12702956, price=6
Position 493: secret=16109715, price=5
Position 494: secret=5927921, price=1
Position 495: secret=2022348, price=8
Position 496: secret=14760330, price=0
Position 497: secret=10793426, price=6
Position 498: secret=9913208, price=8
Position 499: secret=4798867, price=7
Position 500: secret=3846073, price=3
Position 501: secret=13270006, price=6
Position 502: secret=4459077, price=7
Position 503: secret=3819485, price=5
Position 504: secret=12985625, price=5
Position 505: secret=9371715, price=5
Position 506: secret=872455, price=5
Position 507: secret=8508233, price=3
Position 508: secret=12230913, price=3
Position 509: secret=10497611, price=1
Position 510: secret=10852719, price=9
Position 511: secret=2100410, price=0
Position 512: secret=16474923, price=3
Position 513: secret=8885412, price=2
Position 514: secret=2351177, price=7
Position 515: secret=11658649, price=9
Position 516: secret=15794119, price=9
Position 517: secret=8048247, price=7
Position 518: secret=411946, price=6
Position 519: secret=9247671, price=1
Position 520: secret=8620484, price=4
Position 521: secret=14345986, price=6
Position 522: secret=9817790, price=0
Position 523: secret=7399991, price=1
Position 524: secret=15627464, price=4
Position 525: secret=9907454, price=4
Position 526: secret=12704741, price=1
Position 527: secret=7281584, price=4
Position 528: secret=7131149, price=9
Position 529: secret=16035287, price=7
Position 530: secret=15703767, price=7
Position 531: secret=5902927, price=7
Position 532: secret=7630211, price=1
Position 533: secret=12926249, price=9
Position 534: secret=11056338, price=8
Position 535: secret=14888016, price=6
Position 536: secret=15067538, price=8
Position 537: secret=1089914, price=4
Position 538: secret=16322565, price=5
Position 539: secret=7766479, price=9
Position 540: secret=16563615, price=5
Position 541: secret=15805581, price=1
Position 542: secret=4343731, price=1
Position 543: secret=6583848, price=8
Position 544: secret=14973897, price=7
Position 545: secret=1275333, price=3
Position 546: secret=7175329, price=9
Position 547: secret=128582, price=2
Position 548: secret=5784824, price=4
Position 549: secret=12732719, price=9
Position 550: secret=4539128, price=8
Position 551: secret=9284383, price=3
Position 552: secret=6135737, price=7
Position 553: secret=2626166, price=6
Position 554: secret=7447433, price=3
Position 555: secret=4699079, price=9
Position 556: secret=7249943, price=3
Position 557: secret=4675833, price=3
Position 558: secret=16354700, price=0
Position 559: secret=5372408, price=8
Position 560: secret=15778759, price=9
Position 561: secret=5933975, price=5
Position 562: secret=9864485, price=5
Position 563: secret=10895878, price=8
Position 564: secret=10200474, price=4
Position 565: secret=14238978, price=8
Position 566: secret=10565038, price=8
Position 567: secret=902367, price=7
Position 568: secret=14363783, price=3
Position 569: secret=7988525, price=5
Position 570: secret=5790494, price=4
Position 571: secret=997498, price=8
Position 572: secret=12142541, price=1
Position 573: secret=6732073, price=3
Position 574: secret=6890738, price=8
Position 575: secret=14979249, price=9
Position 576: secret=919830, price=0
Position 577: secret=16760562, price=2
Position 578: secret=232033, price=3
Position 579: secret=3381936, price=6
Position 580: secret=2864901, price=1
Position 581: secret=15728119, price=9
Position 582: secret=3257398, price=8
Position 583: secret=12420219, price=9
Position 584: secret=2690670, price=0
Position 585: secret=6539585, price=5
Position 586: secret=3890633, price=3
Position 587: secret=10282741, price=1
Position 588: secret=2830696, price=6
Position 589: secret=6408243, price=3
Position 590: secret=12974804, price=4
Position 591: secret=1295786, price=6
Position 592: secret=3613267, price=7
Position 593: secret=10580775, price=5
Position 594: secret=4446000, price=0
Position 595: secret=15524841, price=1
Position 596: secret=1677668, price=8
Position 597: secret=9373287, price=7
Position 598: secret=1456986, price=6
Position 599: secret=13208244, price=4
Position 600: secret=5912201, price=1
Position 601: secret=9588847, price=7
Position 602: secret=13232626, price=6
Position 603: secret=16302553, price=3
Position 604: secret=6281765, price=5
Position 605: secret=6547966, price=6
Position 606: secret=4928205, price=5
Position 607: secret=7320961, price=1
Position 608: secret=10337135, price=5
Position 609: secret=2730922, price=2
Position 610: secret=9978659, price=9
Position 611: secret=15806396, price=6
Position 612: secret=712377, price=7
Position 613: secret=6515582, price=2
Position 614: secret=7778649, price=9
Position 615: secret=6109217, price=7
Position 616: secret=6076898, price=8
Position 617: secret=13246313, price=3
Position 618: secret=1551104, price=4
Position 619: secret=16269400, price=0
Position 620: secret=4736234, price=4
Position 621: secret=16219545, price=5
Position 622: secret=15819527, price=7
Position 623: secret=13789137, price=7
Position 624: secret=3254029, price=9
Position 625: secret=6414191, price=1
Position 626: secret=11723914, price=4
Position 627: secret=13256762, price=2
Position 628: secret=8322191, price=1
Position 629: secret=4880821, price=1
Position 630: secret=7349330, price=0
Position 631: secret=11557204, price=4
Position 632: secret=4361270, price=0
Position 633: secret=9131451, price=1
Position 634: secret=641696, price=6
Position 635: secret=11866549, price=9
Position 636: secret=5138194, price=4
Position 637: secret=2453134, price=4
Position 638: secret=10881894, price=4
Position 639: secret=8813681, price=1
Position 640: secret=4205360, price=0
Position 641: secret=13170697, price=7
Position 642: secret=10327451, price=1
Position 643: secret=5848257, price=7
Position 644: secret=15832293, price=3
Position 645: secret=14043336, price=6
Position 646: secret=9349406, price=6
Position 647: secret=6986218, price=8
Position 648: secret=15273073, price=3
Position 649: secret=11190448, price=8
Position 650: secret=12882901, price=1
Position 651: secret=13266337, price=7
Position 652: secret=4062670, price=0
Position 653: secret=9534012, price=2
Position 654: secret=10298005, price=5
Position 655: secret=9204715, price=5
Position 656: secret=16719202, price=2
Position 657: secret=520141, price=1
Position 658: secret=1619049, price=9
Position 659: secret=3064664, price=4
Position 660: secret=11892210, price=0
Position 661: secret=10912057, price=7
Position 662: secret=13560066, price=6
Position 663: secret=1146062, price=2
Position 664: secret=10853684, price=4
Position 665: secret=15822517, price=7
Position 666: secret=50666, price=6
Position 667: secret=10795665, price=5
Position 668: secret=16741927, price=7
Position 669: secret=6498328, price=8
Position 670: secret=9906024, price=4
Position 671: secret=529027, price=7
Position 672: secret=11689937, price=7
Position 673: secret=1240781, price=1
Position 674: secret=1515361, price=1
Position 675: secret=14582040, price=0
Position 676: secret=16003360, price=0
Position 677: secret=2683625, price=5
Position 678: secret=4426476, price=6
Position 679: secret=6758499, price=9
Position 680: secret=10580326, price=6
Position 681: secret=16239009, price=9
Position 682: secret=6487278, price=8
Position 683: secret=9535829, price=9
Position 684: secret=2355893, price=3
Position 685: secret=15856906, price=6
Position 686: secret=1663542, price=2
Position 687: secret=4569291, price=1
Position 688: secret=9965147, price=7
Position 689: secret=12434527, price=7
Position 690: secret=2238147, price=7
Position 691: secret=16470707, price=7
Position 692: secret=2261376, price=6
Position 693: secret=3315340, price=0
Position 694: secret=15895584, price=4
Position 695: secret=1245185, price=5
Position 696: secret=1540163, price=3
Position 697: secret=9442311, price=1
Position 698: secret=8058217, price=7
Position 699: secret=5444176, price=6
Position 700: secret=4205154, price=4
Position 701: secret=7556981, price=1
Position 702: secret=1095332, price=2
Position 703: secret=8798041, price=1
Position 704: secret=3878481, price=1
Position 705: secret=604097, price=7
Position 706: secret=4917693, price=3
Position 707: secret=14908874, price=4
Position 708: secret=4484912, price=2
Position 709: secret=11277865, price=5
Position 710: secret=2654346, price=6
Position 711: secret=3159834, price=4
Position 712: secret=13413910, price=0
Position 713: secret=7750346, price=6
Position 714: secret=14649288, price=8
Position 715: secret=833126, price=6
Position 716: secret=1371801, price=1
Position 717: secret=12241567, price=7
Position 718: secret=7964213, price=3
Position 719: secret=4307758, price=8
Position 720: secret=7820075, price=5
Position 721: secret=9413924, price=4
Position 722: secret=12579653, price=3
Position 723: secret=10064661, price=1
Position 724: secret=1934567, price=7
Position 725: secret=12134606, price=6
Position 726: secret=15213460, price=0
Position 727: secret=14860448, price=8
Position 728: secret=11491301, price=1
Position 729: secret=11008976, price=6
Position 730: secret=6731694, price=4
Position 731: secret=16481999, price=9
Position 732: secret=8311655, price=5
Position 733: secret=1821426, price=6
Position 734: secret=13761, price=1
Position 735: secret=7358381, price=1
Position 736: secret=7270794, price=4
Position 737: secret=15243154, price=4
Position 738: secret=1001610, price=0
Position 739: secret=13717850, price=0
Position 740: secret=16650212, price=2
Position 741: secret=11829587, price=7
Position 742: secret=625471, price=1
Position 743: secret=10411736, price=6
Position 744: secret=3462046, price=6
Position 745: secret=11388350, price=0
Position 746: secret=10565487, price=7
Position 747: secret=11918282, price=2
Position 748: secret=4534272, price=2
Position 749: secret=12941696, price=6
Position 750: secret=9806156, price=6
Position 751: secret=1371614, price=4
Position 752: secret=1738380, price=0
Position 753: secret=6028448, price=8
Position 754: secret=3267077, price=7
Position 755: secret=4823455, price=5
Position 756: secret=2353581, price=1
Position 757: secret=11050746, price=6
Position 758: secret=4231545, price=5
Position 759: secret=3008832, price=2
Position 760: secret=7427210, price=0
Position 761: secret=8947130, price=0
Position 762: secret=9419875, price=5
Position 763: secret=7311750, price=0
Position 764: secret=15966086, price=6
Position 765: secret=16477686, price=6
Position 766: secret=10926325, price=5
Position 767: secret=262552, price=2
Position 768: secret=2188452, price=2
Position 769: secret=378825, price=5
Position 770: secret=14072869, price=9
Position 771: secret=12323022, price=2
Position 772: secret=15690388, price=8
Position 773: secret=3875304, price=4
Position 774: secret=16611639, price=9
Position 775: secret=13413712, price=2
Position 776: secret=13899418, price=8
Position 777: secret=3927450, price=0
Position 778: secret=12361538, price=8
Position 779: secret=3306940, price=0
Position 780: secret=12135017, price=7
Position 781: secret=10055080, price=0
Position 782: secret=7913365, price=5
Position 783: secret=5634051, price=1
Position 784: secret=1216261, price=1
Position 785: secret=9796663, price=3
Position 786: secret=14672504, price=4
Position 787: secret=1744795, price=5
Position 788: secret=2890385, price=5
Position 789: secret=7525159, price=9
Position 790: secret=9546288, price=8
Position 791: secret=325377, price=7
Position 792: secret=13575931, price=1
Position 793: secret=6388986, price=6
Position 794: secret=12384361, price=1
Position 795: secret=3093816, price=6
Position 796: secret=10641633, price=3
Position 797: secret=6859364, price=4
Position 798: secret=5757695, price=5
Position 799: secret=13950486, price=6
Position 800: secret=15601994, price=4
Position 801: secret=15184340, price=0
Position 802: secret=14420722, price=2
Position 803: secret=12995521, price=1
Position 804: secret=10810973, price=3
Position 805: secret=13435413, price=3
Position 806: secret=13800303, price=3
Position 807: secret=10660586, price=6
Position 808: secret=9378025, price=5
Position 809: secret=1477564, price=4
Position 810: secret=9244569, price=9
Position 811: secret=3942039, price=9
Position 812: secret=5130061, price=1
Position 813: secret=10223789, price=9
Position 814: secret=13458098, price=8
Position 815: secret=13840771, price=1
Position 816: secret=4318153, price=3
Position 817: secret=15790341, price=1
Position 818: secret=6614471, price=1
Position 819: secret=5920999, price=9
Position 820: secret=14381614, price=4
Position 821: secret=3464803, price=3
Position 822: secret=15199382, price=2
Position 823: secret=6741854, price=4
Position 824: secret=13844632, price=2
Position 825: secret=15605164, price=4
Position 826: secret=8582425, price=5
Position 827: secret=4740803, price=3
Position 828: secret=1478963, price=3
Position 829: secret=15706908, price=8
Position 830: secret=4106108, price=8
Position 831: secret=9321407, price=7
Position 832: secret=9843420, price=0
Position 833: secret=9814514, price=4
Position 834: secret=6707353, price=3
Position 835: secret=2000175, price=5
Position 836: secret=4124824, price=4
Position 837: secret=8888364, price=4
Position 838: secret=14646901, price=1
Position 839: secret=2196524, price=4
Position 840: secret=1581909, price=9
Position 841: secret=10312101, price=1
Position 842: secret=8812898, price=8
Position 843: secret=2066669, price=9
Position 844: secret=777776, price=6
Position 845: secret=8304801, price=1
Position 846: secret=7677030, price=0
Position 847: secret=14521353, price=3
Position 848: secret=2788091, price=1
Position 849: secret=2139546, price=6
Position 850: secret=6397186, price=6
Position 851: secret=6134638, price=8
Position 852: secret=15586025, price=5
Position 853: secret=8569836, price=6
Position 854: secret=8057131, price=1
Position 855: secret=11611700, price=0
Position 856: secret=4988461, price=1
Position 857: secret=522694, price=4
Position 858: secret=14574596, price=6
Position 859: secret=11812396, price=6
Position 860: secret=16400517, price=7
Position 861: secret=16739019, price=9
Position 862: secret=9613003, price=3
Position 863: secret=10456299, price=9
Position 864: secret=14910362, price=2
Position 865: secret=15920690, price=0
Position 866: secret=397735, price=5
Position 867: secret=14371748, price=8
Position 868: secret=7628721, price=1
Position 869: secret=5478318, price=8
Position 870: secret=13481935, price=5
Position 871: secret=9715247, price=7
Position 872: secret=14510144, price=4
Position 873: secret=10441602, price=2
Position 874: secret=4013722, price=2
